Date,Close,Ticker
17-12-2020,493.6525574,N
18-12-2020,500.1810913,N
21-12-2020,478.274292,N
22-12-2020,483.8839417,N
23-12-2020,487.0756531,N
24-12-2020,496.6991272,N
28-12-2020,503.0342102,N
29-12-2020,511.4488525,N
30-12-2020,511.4004211,N
31-12-2020,517.4936523,N
01-01-2021,510.1914063,N
04-01-2021,514.2536011,N
05-01-2021,519.621521,N
06-01-2021,528.7614746,N
07-01-2021,523.3451538,N
08-01-2021,524.2640381,N
11-01-2021,526.8270874,N
12-01-2021,530.0187988,N
13-01-2021,538.2398682,N
14-01-2021,535.1448975,N
15-01-2021,525.1829224,N
18-01-2021,515.6560059,N
19-01-2021,528.5196533,N
20-01-2021,532.9202881,N
21-01-2021,534.5645142,N
22-01-2021,516.284729,N
25-01-2021,520.3952637,N
27-01-2021,505.2103882,N
28-01-2021,510.9168091,N
29-01-2021,519.3796387,N
01-02-2021,583.987793,N
02-02-2021,597.0932007,N
03-02-2021,601.9291382,N
04-02-2021,607.6838989,N
05-02-2021,593.998291,N
08-02-2021,608.9412842,N
09-02-2021,612.5682373,N
10-02-2021,611.4076538,N
11-02-2021,609.9569092,N
12-02-2021,626.3505859,N
15-02-2021,651.8361206,N
16-02-2021,636.7479248,N
17-02-2021,635.7806396,N
18-02-2021,623.4974976,N
19-02-2021,603.5734253,N
22-02-2021,589.8393555,N
23-02-2021,596.0776367,N
24-02-2021,620.0639648,N
25-02-2021,607.3937378,N
26-02-2021,578.1363525,N
01-03-2021,588.3885498,N
02-03-2021,590.4679565,N
03-03-2021,611.3592529,N
04-03-2021,600.3816528,N
05-03-2021,589.4525146,N
08-03-2021,588.0983887,N
09-03-2021,604.5889282,N
10-03-2021,605.0725098,N
12-03-2021,592.7408447,N
15-03-2021,583.6976929,N
16-03-2021,575.4282837,N
17-03-2021,570.1571045,N
18-03-2021,559.6146851,N
19-03-2021,567.4005737,N
22-03-2021,554.633728,N
23-03-2021,567.1588135,N
24-03-2021,548.8789673,N
25-03-2021,552.7960205,N
26-03-2021,559.5663452,N
30-03-2021,572.0430908,N
31-03-2021,562.9998169,N
01-04-2021,574.8963623,N
05-04-2021,552.5059204,N
06-04-2021,547.3314819,N
07-04-2021,558.6959229,N
08-04-2021,557.7769775,N
09-04-2021,547.6216431,N
12-04-2021,520.8787842,N
13-04-2021,542.2053223,N
15-04-2021,556.3262939,N
16-04-2021,548.3469238,N
19-04-2021,541.3831787,N
20-04-2021,540.7544556,N
22-04-2021,560.1950684,N
23-04-2021,551.2485352,N
26-04-2021,571.7045288,N
27-04-2021,579.1035156,N
28-04-2021,600.9619751,N
29-04-2021,601.0587158,N
30-04-2021,580.7962036,N
03-05-2021,577.1691284,N
04-05-2021,572.1398315,N
05-05-2021,583.0206909,N
06-05-2021,588.2434692,N
07-05-2021,587.1795654,N
10-05-2021,593.1278076,N
11-05-2021,589.8393555,N
12-05-2021,575.2348022,N
14-05-2021,577.7011719,N
17-05-2021,603.1381226,N
18-05-2021,612.4231567,N
19-05-2021,604.9274902,N
20-05-2021,598.3022461,N
21-05-2021,621.3696289,N
24-05-2021,626.1088257,N
25-05-2021,628.9620361,N
26-05-2021,631.0899048,N
27-05-2021,630.8481445,N
28-05-2021,621.9500122,N
31-05-2021,641.00354,N
01-06-2021,628.7685547,N
02-06-2021,627.0759888,N
03-06-2021,628.9137573,N
04-06-2021,621.6114502,N
07-06-2021,626.9309692,N
08-06-2021,621.3212891,N
09-06-2021,615.2279663,N
10-06-2021,619.3869629,N
11-06-2021,614.8411255,N
14-06-2021,614.3092651,N
15-06-2021,624.1261597,N
16-06-2021,619.0967407,N
17-06-2021,612.2296753,N
18-06-2021,609.7150879,N
21-06-2021,610.5371704,N
22-06-2021,610.1502686,N
23-06-2021,604.2021484,N
24-06-2021,613.2452393,N
25-06-2021,627.7047119,N
28-06-2021,628.9620361,N
29-06-2021,619.0967407,N
30-06-2021,610.1986694,N
01-07-2021,610.1502686,N
02-07-2021,619.2418823,N
05-07-2021,626.5924072,N
06-07-2021,628.9620361,N
07-07-2021,632.5405884,N
08-07-2021,620.8377686,N
09-07-2021,617.5976563,N
12-07-2021,625.0449829,N
13-07-2021,643.1314087,N
14-07-2021,642.5510254,N
15-07-2021,645.5493164,N
16-07-2021,638.6339722,N
19-07-2021,634.3783569,N
20-07-2021,620.8377686,N
